date,pollen_count,severity_level
2017-01-03,4,low
2017-01-04,5,low
2017-01-05,4,low
2017-01-06,4,low
2017-01-09,1,low
2017-01-10,3,low
2017-01-11,3,low
2017-01-12,3,low
2017-01-13,14,low
2017-01-16,6,low
2017-01-17,13,low
2017-01-18,10,low
2017-01-19,15,low
2017-01-20,11,low
2017-01-23,2,low
2017-01-24,18,medium
2017-01-25,53,medium
2017-01-26,122,high
2017-01-27,171,high
2017-01-30,41,medium
2017-01-31,52,medium
2017-02-01,109,high
2017-02-02,116,high
2017-02-03,105,high
2017-02-06,12,low
2017-02-07,41,medium
2017-02-08,5,low
2017-02-09,117,high
2017-02-10,62,medium
2017-02-13,513,high
2017-02-14,217,high
2017-02-15,20,medium
2017-02-16,68,medium
2017-02-17,60,medium
2017-02-20,1289,high
2017-02-21,387,high
2017-02-22,140,high
2017-02-23,67,medium
2017-02-24,210,high
2017-02-27,25,medium
2017-02-28,34,medium
2017-03-01,71,medium
2017-03-02,87,medium
2017-03-03,86,medium
2017-03-06,74,medium
2017-03-07,155,high
2017-03-08,123,high
2017-03-09,162,high
2017-03-10,251,high
2017-03-13,17,medium
2017-03-14,52,medium
2017-03-15,43,medium
2017-03-16,45,medium
2017-03-17,57,medium
2017-03-21,1549,extreme
2017-03-22,1948,extreme
2017-03-23,644,high
2017-03-24,816,high
2017-03-25,2258,extreme
2017-03-26,1826,extreme
2017-03-27,1939,extreme
2017-03-28,2587,extreme
2017-03-29,2204,extreme
2017-03-30,2924,extreme
2017-03-31,3559,extreme
2017-04-01,926,high
2017-04-02,1258,high
2017-04-03,2507,extreme
2017-04-04,834,high
2017-04-05,2631,extreme
2017-04-06,872,high
2017-04-07,622,high
2017-04-08,556,high
2017-04-09,360,high
2017-04-10,830,high
2017-04-11,1028,high
2017-04-12,1967,extreme
2017-04-13,2224,extreme
2017-04-14,1260,high
2017-04-15,1078,high
2017-04-16,464,high
2017-04-17,1072,high
2017-04-18,469,high
2017-04-19,110,high
2017-04-20,110,high
2017-04-21,98,high
2017-04-22,259,high
2017-04-23,117,high
2017-04-24,11,low
2017-04-25,49,medium
2017-04-26,30,medium
2017-04-27,104,high
2017-04-28,48,medium
2017-04-29,101,high
2017-04-30,113,high
2017-05-01,142,high
2017-05-02,118,high
2017-05-03,119,high
2017-05-04,130,high
2017-05-05,12,low
2017-05-08,6,low
2017-05-09,45,medium
2017-05-10,59,medium
2017-05-11,87,medium
2017-05-12,27,medium
2017-05-15,4,low
2017-05-16,23,medium
2017-05-17,20,medium
2017-05-18,24,medium
2017-05-19,21,medium
2017-05-22,20,medium
2017-05-23,7,low
2017-05-24,4,low
2017-05-25,24,medium
2017-05-26,20,medium
2017-05-30,23,low
2017-05-31,2,low
2017-06-01,13,low
2017-06-02,15,low
2017-06-05,6,low
2017-06-06,8,low
2017-06-07,17,low
2017-06-08,32,medium
2017-06-09,15,low
2017-06-12,8,low
2017-06-13,5,low
2017-06-14,11,low
2017-06-15,2,low
2017-06-16,27,medium
2017-06-19,6,low
2017-06-20,7,low
2017-06-21,7,low
2017-06-22,17,medium
2017-06-23,3,low
2017-06-26,29,medium
2017-06-27,20,low
2017-06-28,8,low
2017-06-29,7,low
2017-06-30,11,low
2017-07-03,9,low
2017-07-05,24,low
2017-07-06,8,low
2017-07-07,10,low
2017-07-10,31,medium
2017-07-11,23,medium
2017-07-12,10,low
2017-07-13,8,low
2017-07-14,5,low
2017-07-17,1,low
2017-07-18,8,low
2017-07-19,3,low
2017-07-20,1,low
2017-07-21,8,low
2017-07-24,2,low
2017-07-25,4,low
2017-07-26,7,low
2017-07-27,16,medium
2017-07-28,7,low
2017-07-31,9,low
2017-08-01,6,low
2017-08-02,6,low
2017-08-03,6,low
2017-08-04,5,low
2017-08-07,7,low
2017-08-08,1,low
2017-08-09,4,low
2017-08-11,7,low
2017-08-14,8,low
