"date","pollen_count","severity_level"
"2021-01-07","2","low"
"2021-01-08","1","low"
"2021-01-12","1","low"
"2021-01-13","1","low"
"2021-01-14","1","low"
"2021-01-15","4","low"
"2021-01-19","1","low"
"2021-01-20","19","medium"
"2021-01-21","4","low"
"2021-01-22","1","low"
"2021-01-25","5","low"
"2021-01-26","1","low"
"2021-01-27","20","medium"
"2021-01-28","15","low"
"2021-01-29","3","low"
"2021-02-01","1","low"
"2021-02-02","2","low"
"2021-02-03","3","low"
"2021-02-04","1","low"
"2021-02-05","21","medium"
"2021-02-08","2","low"
"2021-02-09","30","medium"
"2021-02-10","20","medium"
"2021-02-11","4","low"
"2021-02-12","0","low"
"2021-02-15","7","low"
"2021-02-16","0","low"
"2021-02-17","9","low"
"2021-02-18","39","medium"
"2021-02-19","1","low"
"2021-02-22","80","medium"
"2021-02-23","154","high"
"2021-02-24","170","high"
"2021-02-25","682","high"
"2021-02-26","820","high"
"2021-03-01","464","high"
"2021-03-02","373","high"
"2021-03-03","71","medium"
"2021-03-04","357","high"
"2021-03-05","201","high"
"2021-03-08","113","high"
"2021-03-09","69","medium"
"2021-03-10","147","high"
"2021-03-11","290","high"
"2021-03-12","249","high"
"2021-03-13","172","high"
"2021-03-14","119","high"
"2021-03-15","176","high"
"2021-03-16","1191","high"
"2021-03-17","20","medium"
"2021-03-18","9","low"
"2021-03-19","363","high"
"2021-03-20","94","high"
"2021-03-21","59","medium"
"2021-03-22","40","medium"
"2021-03-23","268","high"
"2021-03-24","1755","extreme"
"2021-03-25","1592","extreme"
"2021-03-26","2965","extreme"
"2021-03-27","2691","extreme"
"2021-03-28","6974","extreme"
"2021-03-29","3675","extreme"
"2021-03-30","2482","extreme"
"2021-03-31","5031","extreme"
"2021-04-01","1878","extreme"
"2021-04-02","5081","extreme"
"2021-04-03","456","high"
"2021-04-05","1848","extreme"
"2021-04-06","1807","extreme"
"2021-04-07","4397","extreme"
"2021-04-08","3755","extreme"
"2021-04-09","4614","extreme"
"2021-04-10","960","high"
"2021-04-11","1253","high"
"2021-04-12","2508","extreme"
"2021-04-13","2332","extreme"
"2021-04-14","1162","high"
"2021-04-15","734","high"
"2021-04-16","1716","extreme"
"2021-04-17","463","high"
"2021-04-18","876","high"
"2021-04-19","431","high"
"2021-04-20","494","high"
"2021-04-21","434","high"
"2021-04-22","1310","high"
"2021-04-23","1522","extreme"
"2021-04-26","517","high"
"2021-04-27","111","high"
"2021-04-28","81","medium"
"2021-04-29","174","high"
"2021-04-30","214","high"
"2021-05-03","247","high"
"2021-05-04","53","medium"
"2021-05-05","18","medium"
"2021-05-06","126","high"
"2021-05-07","248","high"
"2021-05-10","170","high"
"2021-05-11","60","medium"
"2021-05-12","108","high"
"2021-05-13","21","medium"
"2021-05-14","90","medium"
"2021-05-17","95","high"
"2021-05-18","53","medium"
"2021-05-19","59","medium"
"2021-05-20","59","medium"
"2021-05-21","44","medium"
"2021-05-24","171","high"
"2021-05-25","141","high"
"2021-05-26","42","medium"
"2021-05-27","80","medium"
"2021-05-28","28","medium"
"2021-06-01","33","medium"
"2021-06-02","24","medium"
"2021-06-03","29","medium"
"2021-06-04","19","low"
"2021-06-07","9","low"
"2021-06-08","10","low"
"2021-06-09","12","low"
"2021-06-10","4","low"
"2021-06-11","8","low"
"2021-06-14","13","low"
"2021-06-15","21","low"
"2021-06-16","40","medium"
"2021-06-17","19","low"
"2021-06-18","15","low"
"2021-06-21","16","low"
"2021-06-22","4","low"
"2021-06-23","13","low"
"2021-06-24","18","medium"
"2021-06-25","14","low"
"2021-06-28","10","low"
"2021-06-29","11","low"
"2021-06-30","9","low"
"2021-07-01","12","medium"
"2021-07-02","5","low"
"2021-07-06","10","low"
"2021-07-07","10","low"
"2021-07-08","6","low"
"2021-07-09","4","low"
"2021-07-12","8","low"
"2021-07-13","8","low"
"2021-07-14","6","low"
"2021-07-15","4","low"
"2021-07-16","9","low"
"2021-07-19","2","low"
"2021-07-20","2","low"
"2021-07-21","1","low"
"2021-07-22","11","low"
"2021-07-23","9","low"
"2021-07-26","4","low"
"2021-07-27","9","low"
"2021-07-28","7","low"
"2021-07-29","12","low"
"2021-07-30","12","low"
"2021-08-02","6","low"
"2021-08-03","15","medium"
"2021-08-04","6","low"
"2021-08-05","6","low"
"2021-08-06","5","low"
"2021-08-09","14","medium"
"2021-08-10","5","low"
"2021-08-11","6","low"
"2021-08-12","5","low"
"2021-08-13","6","low"
"2021-08-16","8","low"
"2021-08-17","1","low"
"2021-08-18","6","low"
"2021-08-19","6","low"
"2021-08-20","3","low"
"2021-08-23","5","low"
"2021-08-24","17","low"
"2021-08-25","19","low"
"2021-08-26","10","low"
"2021-08-27","10","low"
"2021-08-30","11","low"
"2021-08-31","7","low"
"2021-09-01","3","low"
"2021-09-02","17","medium"
"2021-09-03","10","low"
"2021-09-07","154","high"
"2021-09-08","2","low"
"2021-09-09","51","medium"
"2021-09-10","199","high"
"2021-09-13","66","medium"
"2021-09-14","56","medium"
"2021-09-15","34","medium"
"2021-09-16","20","low"
"2021-09-17","15","low"
"2021-09-20","9","low"
"2021-09-21","6","low"
"2021-09-22","17","medium"
"2021-09-23","44","medium"
"2021-09-24","33","medium"
"2021-09-27","43","medium"
"2021-09-28","20","medium"
"2021-09-29","32","medium"
"2021-09-30","35","medium"
"2021-10-01","13","medium"
"2021-10-04","10","low"
"2021-10-05","17","medium"
"2021-10-06","2","low"
"2021-10-07","3","low"
"2021-10-08","2","low"
"2021-10-11","20","medium"
"2021-10-12","12","low"
"2021-10-13","22","medium"
"2021-10-14","2","low"
"2021-10-15","0","low"
"2021-10-19","14","medium"
"2021-10-20","22","medium"
"2021-10-21","3","low"
"2021-10-22","5","low"
"2021-10-25","9","low"
"2021-10-26","13","low"
"2021-10-27","18","medium"
"2021-10-28","2","low"
"2021-10-29","3","low"
"2021-11-01","8","low"
"2021-11-02","1","low"
"2021-11-03","6","low"
"2021-11-04","5","low"
"2021-11-05","1","low"
"2021-11-08","3","low"
"2021-11-09","3","low"
"2021-11-10","4","low"
"2021-11-11","1","low"
"2021-11-12","6","low"
"2021-11-15","27","medium"
"2021-11-16","4","low"
"2021-11-17","6","low"
"2021-11-18","5","low"
"2021-11-19","5","low"
"2021-11-22","16","medium"
"2021-11-23","6","low"
"2021-11-24","2","low"
"2021-11-29","8","low"
"2021-11-30","2","low"
"2021-12-01","2","low"
"2021-12-02","1","low"
"2021-12-03","2","low"
"2021-12-06","2","low"
"2021-12-07","2","low"
"2021-12-08","4","low"
"2021-12-09","5","low"
"2021-12-10","1","low"
"2021-12-13","6","low"
"2021-12-14","4","low"
"2021-12-15","1","low"
"2021-12-16","1","low"
"2021-12-17","1","low"
"2021-12-20","2","low"
"2021-12-21","1","low"
"2021-12-22","1","low"
"2021-12-23","4","low"
"2021-12-27","1","low"
"2021-12-28","1","low"
"2021-12-29","4","low"
"2021-12-30","0","low"
