date,pollen_count
2016-01-04,2
2016-01-05,1
2016-01-06,3
2016-01-07,1
2016-01-08,0
2016-01-11,3
2016-01-12,2
2016-01-13,2
2016-01-14,2
2016-01-15,2
2016-01-18,5
2016-01-19,2
2016-01-20,2
2016-01-21,3
2016-01-22,3
2016-01-25,0
2016-01-26,1
2016-01-27,2
2016-01-28,0
2016-01-29,4
2016-02-01,44
2016-02-02,9
2016-02-03,22
2016-02-04,34
2016-02-05,21
2016-02-08,45
2016-02-09,75
2016-02-10,3
2016-02-11,6
2016-02-12,33
2016-02-15,15
2016-02-16,5
2016-02-17,31
2016-02-18,5
2016-02-19,29
2016-02-29,350
2016-03-01,388
2016-03-02,93
2016-03-03,28
2016-03-07,107
2016-03-08,104
2016-03-09,100
2016-03-10,269
2016-03-11,167
2016-03-12,108
2016-03-13,132
2016-03-14,340
2016-03-15,478
2016-03-16,670
2016-03-17,1531
2016-03-18,1490
2016-03-19,2890
2016-03-20,2651
2016-03-21,1590
2016-03-22,670
2016-03-23,2402
2016-03-24,2759
2016-03-25,3720
2016-03-26,2183
2016-03-27,1323
2016-03-28,120
2016-03-29,4107
2016-03-30,1838
2016-03-31,2347
2016-04-01,620
2016-04-02,1399
2016-04-03,2555
2016-04-04,716
2016-04-05,1228
2016-04-06,657
2016-04-07,492
2016-04-08,553
2016-04-09,626
2016-04-10,599
2016-04-11,69
2016-04-12,173
2016-04-13,536
2016-04-14,592
2016-04-15,194
2016-04-16,456
2016-04-17,317
2016-04-18,267
2016-04-19,670
2016-04-20,345
2016-04-21,190
2016-04-22,111
2016-04-25,982
2016-04-26,177
2016-04-27,180
2016-04-28,154
2016-04-29,99
2016-05-02,179
2016-05-03,151
2016-05-04,90
2016-05-05,76
2016-05-06,118
2016-05-09,106
2016-05-10,99
2016-05-11,97
2016-05-12,74
2016-05-13,37
2016-05-16,56
2016-05-17,34
2016-05-18,11
2016-05-19,21
2016-05-20,28
2016-05-23,135
2016-05-24,92
2016-05-25,47
2016-05-26,31
2016-05-27,10
2016-05-31,55
2016-06-01,20
2016-06-02,12
2016-06-03,13
2016-06-06,7
2016-06-07,2
2016-06-08,24
2016-06-09,16
2016-06-10,9
2016-06-13,13
2016-06-14,15
2016-06-15,4
2016-06-16,7
2016-06-17,13
2016-06-20,15
2016-06-21,10
2016-06-22,10
2016-06-23,9
2016-06-24,6
2016-06-27,8
2016-06-28,6
2016-06-29,5
2016-06-30,8
2016-07-01,10
2016-07-05,6
2016-07-06,4
2016-07-07,1
2016-07-08,1
2016-07-11,0
2016-07-12,3
2016-07-14,5
2016-07-15,4
2016-07-18,2
2016-07-19,5
2016-07-20,5
2016-07-21,4
2016-07-22,12
2016-07-25,9
2016-07-26,2
2016-07-27,2
2016-07-28,6
2016-07-29,9
2016-08-01,2
2016-08-02,3
2016-08-03,5
2016-08-04,0
2016-08-05,1
2016-08-08,2
2016-08-09,1
2016-08-10,4
2016-08-11,2
2016-08-12,2
2016-08-15,4
2016-08-16,5
2016-08-17,6
2016-08-18,4
2016-08-19,7
2016-08-22,7
2016-08-23,12
2016-08-24,7
2016-08-25,2
2016-08-26,5
2016-08-29,13
2016-08-30,11
2016-08-31,5
2016-09-01,8
2016-09-02,0
2016-09-06,7
2016-09-07,7
2016-09-08,11
2016-09-09,22
2016-09-12,40
2016-09-13,26
2016-09-14,14
2016-09-15,21
2016-09-16,5
2016-09-19,6
2016-09-20,9
2016-09-21,16
2016-09-22,15
2016-09-23,16
2016-09-26,56
2016-09-27,71
2016-09-28,10
2016-09-29,36
2016-09-30,27
2016-10-03,16
2016-10-04,12
2016-10-05,13
2016-10-06,37
2016-10-07,17
2016-10-10,29
2016-10-11,21
2016-10-12,21
2016-10-13,11
2016-10-14,27
2016-10-17,13
2016-10-18,35
2016-10-19,13
2016-10-20,23
2016-10-21,14
2016-10-24,23
2016-10-25,13
2016-10-26,6
2016-10-27,9
2016-10-28,11
2016-10-31,9
2016-11-01,6
2016-11-02,5
2016-11-03,4
2016-11-04,3
2016-11-07,6
2016-11-08,3
2016-11-09,9
2016-11-10,6
2016-11-11,4
2016-11-14,22
2016-11-15,7
2016-11-16,2
2016-11-17,6
2016-11-18,6
2016-11-21,12
2016-11-22,5
2016-11-23,3
2016-11-28,6
2016-11-29,6
2016-11-30,2
2016-12-05,5
2016-12-06,2
2016-12-07,0
2016-12-08,2
2016-12-09,2
2016-12-12,1
2016-12-13,2
2016-12-14,1
2016-12-15,2
2016-12-16,1
2016-12-19,2
2016-12-20,17
2016-12-21,2
2016-12-22,5
2016-12-27,3
2016-12-28,14
2016-12-29,3
2016-12-30,10
