date,contributor_type,contributor_names,contributor_severity
2001-01-02,Trees,,0
2001-01-02,Grass,,0
2001-01-02,Weeds,,0
2001-01-03,Trees,,0
2001-01-03,Grass,,0
2001-01-03,Weeds,,0
2001-01-04,Trees,,0
2001-01-04,Grass,,0
2001-01-04,Weeds,,0
2001-01-05,Trees,,0
2001-01-05,Grass,,0
2001-01-05,Weeds,,0
2001-01-08,Trees,,0
2001-01-08,Grass,,0
2001-01-08,Weeds,,0
2001-01-09,Trees,JUNIPER,1.6666666666667
2001-01-09,Grass,,0
2001-01-09,Weeds,,0
2001-01-10,Trees,,0
2001-01-10,Grass,,0
2001-01-10,Weeds,,0
2001-01-11,Trees,JUNIPER,1.6666666666667
2001-01-11,Grass,,0
2001-01-11,Weeds,,0
2001-01-12,Trees,JUNIPER,1.6666666666667
2001-01-12,Grass,,0
2001-01-12,Weeds,,0
2001-01-15,Trees,JUNIPER,1.6666666666667
2001-01-15,Grass,,0
2001-01-15,Weeds,,0
2001-01-16,Trees,,0
2001-01-16,Grass,,0
2001-01-16,Weeds,RAGWEED,2.5
2001-01-17,Trees,,0
2001-01-17,Grass,,0
2001-01-17,Weeds,,0
2001-01-18,Trees,JUNIPER,1.6666666666667
2001-01-18,Grass,,0
2001-01-18,Weeds,,0
2001-01-19,Trees,,0
2001-01-19,Grass,,0
2001-01-19,Weeds,,0
2001-01-22,Trees,,0
2001-01-22,Grass,,0
2001-01-22,Weeds,,0
2001-01-25,Trees,,0
2001-01-25,Grass,,0
2001-01-25,Weeds,RAGWEED,2.5
2001-01-29,Trees,"ASH, ALDER, JUNIPER, OAK",8.3333333333333
2001-01-29,Grass,,0
2001-01-29,Weeds,,0
2001-02-05,Trees,"MAPLE, ALDER, JUNIPER",25
2001-02-05,Grass,,0
2001-02-05,Weeds,RAGWEED,2.5
2001-02-06,Trees,"ALDER, MAPLE",10
2001-02-06,Grass,,0
2001-02-06,Weeds,,0
2001-02-07,Trees,"ALDER, ELM, ASH, JUNIPER, MAPLE",36
2001-02-07,Grass,,0
2001-02-07,Weeds,RAGWEED,2.5
2001-02-08,Trees,"ALDER, ELM, JUNIPER, MAPLE, ASH",45
2001-02-08,Grass,,0
2001-02-08,Weeds,RAGWEED,2.5
2001-02-09,Trees,"JUNIPER, ALDER, ELM, MAPLE, BIRCH",55.815602836879
2001-02-09,Grass,GRASS,5
2001-02-09,Weeds,"RAGWEED, SHEEP SORREL",5
2001-02-12,Trees,"JUNIPER, OAK, ALDER",3.3333333333333
2001-02-12,Grass,,0
2001-02-12,Weeds,,0
2001-02-13,Trees,"ELM, ALDER, OAK, JUNIPER",6.6666666666667
2001-02-13,Grass,,0
2001-02-13,Weeds,,0
2001-02-14,Trees,,0
2001-02-14,Grass,,0
2001-02-14,Weeds,RAGWEED,2.5
2001-02-15,Trees,"JUNIPER, ALDER, ELM, OAK, MAPLE",50.833333333333
2001-02-15,Grass,,0
2001-02-15,Weeds,RAGWEED,2.5
2001-02-16,Trees,"ELM, ALDER, JUNIPER, ASH, MAPLE",64.166666666667
2001-02-16,Grass,,0
2001-02-16,Weeds,,0
2001-02-19,Trees,"ELM, ALDER, JUNIPER, MAPLE, OAK",27
2001-02-19,Grass,,0
2001-02-19,Weeds,RAGWEED,2.5
2001-02-20,Trees,"PINE, ELM, JUNIPER, ASH, ALDER",45.333333333333
2001-02-20,Grass,,0
2001-02-20,Weeds,RAGWEED,2.5
2001-02-21,Trees,"JUNIPER, PINE, ELM, COTTONWOOD, ALDER",18.333333333333
2001-02-21,Grass,,0
2001-02-21,Weeds,RAGWEED,2.5
2001-02-22,Trees,"ELM, ALDER, JUNIPER, MAPLE, ASH",18.333333333333
2001-02-22,Grass,,0
2001-02-22,Weeds,,0
