date,contributor_type,contributor_names,contributor_severity
2019-01-02,Trees,"PINE, JUNIPER",6.6666666666667
2019-01-02,Grass,,0
2019-01-02,Weeds,MUGWORT,2.5
2019-01-03,Trees,JUNIPER,3.3333333333333
2019-01-03,Grass,,0
2019-01-03,Weeds,,0
2019-01-04,Trees,OAK,1.6666666666667
2019-01-04,Grass,,0
2019-01-04,Weeds,,0
2019-01-07,Trees,,0
2019-01-07,Grass,,0
2019-01-07,Weeds,RAGWEED,5
2019-01-08,Trees,"JUNIPER, ALDER, MAPLE",28.333333333333
2019-01-08,Grass,,0
2019-01-08,Weeds,SHEEP SORREL,25
2019-01-09,Trees,"JUNIPER, MULBERRY",36.333333333333
2019-01-09,Grass,,0
2019-01-09,Weeds,SHEEP SORREL,7.5
2019-01-10,Trees,"JUNIPER, MAPLE, MULBERRY",11.666666666667
2019-01-10,Grass,,0
2019-01-10,Weeds,RAGWEED,2.5
2019-01-11,Trees,HICKORY,1.6666666666667
2019-01-11,Grass,,0
2019-01-11,Weeds,,0
2019-01-14,Trees,,1.6666666666667
2019-01-14,Grass,,0
2019-01-14,Weeds,,0
2019-01-15,Trees,,0
2019-01-15,Grass,,0
2019-01-15,Weeds,,0
2019-01-16,Trees,"MULBERRY, ELM, JUNIPER",3.3333333333333
2019-01-16,Grass,,0
2019-01-16,Weeds,RAGWEED,2.5
2019-01-17,Trees,,1.6666666666667
2019-01-17,Grass,,0
2019-01-17,Weeds,,0
2019-01-18,Trees,PINE,1.6666666666667
2019-01-18,Grass,,0
2019-01-18,Weeds,,0
2019-01-21,Trees,"JUNIPER, BIRCH",10
2019-01-21,Grass,,0
2019-01-21,Weeds,SHEEP SORREL,2.5
2019-01-22,Trees,WILLOW,3.3333333333333
2019-01-22,Grass,,0
2019-01-22,Weeds,,0
2019-01-23,Trees,"JUNIPER, MAPLE, PINE, ELM",6.6666666666667
2019-01-23,Grass,,0
2019-01-23,Weeds,,0
2019-01-24,Trees,"MAPLE, PINE, JUNIPER",10
2019-01-24,Grass,,0
2019-01-24,Weeds,,0
2019-01-25,Trees,"JUNIPER, PINE, ELM",23.333333333333
