date,contributor_type,contributor_names,contributor_severity_pct,contributor_severity_label
2019-01-02,Trees,"PINE, JUNIPER",6.6666666666667,L=0-14
2019-01-02,Grass,,0,L=0-4
2019-01-02,Weeds,MUGWORT,2.5,L=0-9
2019-01-02,Mold,Mold,61.826347305389,High
2019-01-03,Trees,JUNIPER,3.3333333333333,L=0-14
2019-01-03,Grass,,0,L=0-4
2019-01-03,Weeds,,0,L=0-9
2019-01-03,Mold,Mold,66.467065868263,High
2019-01-04,Trees,OAK,1.6666666666667,L=0-14
2019-01-04,Grass,,0,L=0-4
2019-01-04,Weeds,,0,L=0-9
2019-01-04,Mold,Mold,18.283582089552,Low
2019-01-07,Trees,,0,L=0-14
2019-01-07,Grass,,0,L=0-4
2019-01-07,Weeds,RAGWEED,5,L=0-9
2019-01-07,Mold,Mold,9.7014925373134,Low
2019-01-08,Trees,"JUNIPER, ALDER, MAPLE",28.333333333333,M=15-89
2019-01-08,Grass,,0,L=0-4
2019-01-08,Weeds,SHEEP SORREL,25,M=10-49
2019-01-08,Mold,Mold,31.287425149701,Moderate
2019-01-09,Trees,"JUNIPER, MULBERRY",36.333333333333,M=15-89
2019-01-09,Grass,,0,L=0-4
2019-01-09,Weeds,SHEEP SORREL,7.5,L=0-9
2019-01-09,Mold,Mold,42.664670658683,Moderate
2019-01-10,Trees,"JUNIPER, MAPLE, MULBERRY",11.666666666667,L=0-14
2019-01-10,Grass,,0,L=0-4
2019-01-10,Weeds,RAGWEED,2.5,L=0-9
2019-01-10,Mold,Mold,58.982035928144,High
2019-01-11,Trees,HICKORY,1.6666666666667,L=0-14
2019-01-11,Grass,,0,L=0-4
2019-01-11,Weeds,,0,L=0-9
2019-01-11,Mold,Mold,6.4925373134328,Low
2019-01-14,Trees,,1.6666666666667,L=0-14
2019-01-14,Grass,,0,L=0-4
2019-01-14,Weeds,,0,L=0-9
2019-01-14,Mold,Mold,41.167664670659,Moderate
2019-01-15,Trees,,0,L=0-14
2019-01-15,Grass,,0,L=0-4
2019-01-15,Weeds,,0,L=0-9
2019-01-15,Mold,Mold,10.671641791045,Low
2019-01-16,Trees,"MULBERRY, ELM, JUNIPER",3.3333333333333,L=0-14
2019-01-16,Grass,,0,L=0-4
2019-01-16,Weeds,RAGWEED,2.5,L=0-9
2019-01-16,Mold,Mold,20.373134328358,Low
2019-01-17,Trees,,1.6666666666667,L=0-14
2019-01-17,Grass,,0,L=0-4
2019-01-17,Weeds,,0,L=0-9
2019-01-17,Mold,Mold,8.4328358208955,Low
2019-01-18,Trees,PINE,1.6666666666667,L=0-14
2019-01-18,Grass,,0,L=0-4
2019-01-18,Weeds,,0,L=0-9
2019-01-18,Mold,Mold,6.1194029850746,Low
2019-01-21,Trees,"JUNIPER, BIRCH",10,L=0-14
2019-01-21,Grass,,0,L=0-4
2019-01-21,Weeds,SHEEP SORREL,2.5,L=0-9
2019-01-21,Mold,Mold,9.4029850746269,Low
2019-01-22,Trees,WILLOW,3.3333333333333,L=0-14
2019-01-22,Grass,,0,L=0-4
2019-01-22,Weeds,,0,L=0-9
2019-01-22,Mold,Mold,4.5522388059701,Low
2019-01-23,Trees,"JUNIPER, MAPLE, PINE, ELM",6.6666666666667,L=0-14
2019-01-23,Grass,,0,L=0-4
2019-01-23,Weeds,,0,L=0-9
2019-01-23,Mold,Mold,14.55223880597,Low
2019-01-24,Trees,"MAPLE, PINE, JUNIPER",10,L=0-14
2019-01-24,Grass,,0,L=0-4
2019-01-24,Weeds,,0,L=0-9
2019-01-24,Mold,Mold,13.432835820896,Low
2019-01-25,Trees,"JUNIPER, PINE, ELM",23.333333333333,L=0-14
