date,contributor_type,contributor_names,contributor_severity_pct,contributor_severity_label
1/2/2020,Trees,"JUNIPER, PINE",3.333333333,L=0-14
1/2/2020,Grass,,0,L=0-4
1/2/2020,Weeds,RAGWEED,2.5,L=0-9
1/2/2020,Mold,,17.6119403,Low
1/3/2020,Trees,,0,L=0-14
1/3/2020,Grass,,0,L=0-4
1/3/2020,Weeds,,0,L=0-9
1/3/2020,Mold,,7.910447761,Low
1/6/2020,Trees,"JUNIPER, OAK, PINE",15,L=0-14
1/6/2020,Grass,,0,L=0-4
1/6/2020,Weeds,,0,L=0-9
1/6/2020,Mold,,10.52238806,Low
1/7/2020,Trees,"JUNIPER, OAK, PINE",38,M=15-89
1/7/2020,Grass,,0,L=0-4
1/7/2020,Weeds,,0,L=0-9
1/7/2020,Mold,,15.67164179,Low
1/8/2020,Trees,"JUNIPER, PINE",50.05319149,H=90-1499
1/8/2020,Grass,,0,L=0-4
1/8/2020,Weeds,RAGWEED,2.5,L=0-9
1/8/2020,Mold,,16.19402985,Low
1/9/2020,Trees,HICKORY,3.333333333,L=0-14
1/9/2020,Grass,,0,L=0-4
1/9/2020,Weeds,,0,L=0-9
1/9/2020,Mold,,12.76119403,Low
1/10/2020,Trees,"JUNIPER, MAPLE, ALDER",18.33333333,L=0-14
1/10/2020,Grass,,0,L=0-4
1/10/2020,Weeds,,0,L=0-9
1/10/2020,Mold,,8.28358209,Low
1/13/2020,Trees,"JUNIPER, ALDER, PINE, OAK, HICKORY",20,L=0-14
1/13/2020,Grass,,0,L=0-4
1/13/2020,Weeds,,0,L=0-9
1/13/2020,Mold,,21.86567164,Low
1/14/2020,Trees,"ELM, JUNIPER",3.333333333,L=0-14
1/14/2020,Grass,,0,L=0-4
1/14/2020,Weeds,,0,L=0-9
1/14/2020,Mold,,96.42857143,Extremely High
1/15/2020,Trees,"PINE, JUNIPER, ELM",8.333333333,L=0-14
1/15/2020,Grass,,0,L=0-4
1/15/2020,Weeds,,0,L=0-9
1/15/2020,Mold,,23.65671642,Low
1/16/2020,Trees,"ALDER, JUNIPER, MAPLE",8.333333333,L=0-14
1/16/2020,Grass,,0,L=0-4
1/16/2020,Weeds,,0,L=0-9
1/16/2020,Mold,,19.55223881,Low
1/17/2020,Trees,"ALDER, JUNIPER, MAPLE, ELM, PINE",33.33333333,M=15-89
1/17/2020,Grass,,0,L=0-4
1/17/2020,Weeds,,0,L=0-9
1/17/2020,Mold,,14.92537313,Low
1/20/2020,Trees,"JUNIPER, ALDER, MAPLE, ELM",20,L=0-14
1/20/2020,Grass,,0,L=0-4
1/20/2020,Weeds,SHEEP SORREL,2.5,L=0-9
1/20/2020,Mold,,49.5508982,Moderate
1/21/2020,Trees,"MAPLE, JUNIPER, PINE, ALDER, ELM",13.33333333,L=0-14
1/21/2020,Grass,,0,L=0-4
1/21/2020,Weeds,,0,L=0-9
1/21/2020,Mold,,4.402985075,Low
1/22/2020,Trees,"PINE, BIRCH, ELM, JUNIPER",8.333333333,L=0-14
1/22/2020,Grass,,0,L=0-4
1/22/2020,Weeds,,0,L=0-9
1/22/2020,Mold,,14.70149254,Low
1/23/2020,Trees,"ALDER, ELM",5,L=0-14
1/23/2020,Grass,,0,L=0-4
1/23/2020,Weeds,,0,L=0-9
1/23/2020,Mold,,8.059701493,Low
1/24/2020,Trees,"MAPLE, ALDER",3.333333333,L=0-14
1/24/2020,Grass,,0,L=0-4
1/24/2020,Weeds,,0,L=0-9
1/24/2020,Mold,,5.52238806,Low
1/27/2020,Trees,"JUNIPER, MAPLE",53.74113475,H=90-1499
1/27/2020,Grass,,0,L=0-4
1/27/2020,Weeds,,0,L=0-9
1/27/2020,Mold,,6.940298507,Low
1/28/2020,Trees,"JUNIPER, ELM",15,L=0-14
1/28/2020,Grass,,0,L=0-4
1/28/2020,Weeds,,0,L=0-9
1/28/2020,Mold,,11.04477612,Low
1/29/2020,Trees,"JUNIPER, ALDER, ELM, BIRCH",25,M=15-89
1/29/2020,Grass,,0,L=0-4
1/29/2020,Weeds,,0,L=0-9
1/29/2020,Mold,,7.462686567,Low
1/30/2020,Trees,"ELM, JUNIPER, ALDER, BIRCH",18.33333333,L=0-14
1/30/2020,Grass,,0,L=0-4
1/30/2020,Weeds,,0,L=0-9
1/30/2020,Mold,,11.34328358,Low
1/31/2020,Trees,"ELM, JUNIPER, ALDER, BIRCH",27,M=15-89
